,SceneNumber,StartTime,EndTime,Class
0,1,"00:00:20,335","00:00:20,718",Speculation and Hypothetical
1,1,"00:00:52,631","00:01:00,295",Problem Solving
2,1,"00:01:00,295","00:01:06,900",Hesitation and Uncertainty
3,1,"00:01:06,900","00:01:17,587",Hesitation and Uncertainty
4,2,"00:00:00,109","00:00:23,640",Hesitation and Uncertainty
5,2,"00:00:30,542","00:00:35,567",Personal Information
6,2,"00:00:35,567","00:00:44,515",Hesitation and Uncertainty
7,2,"00:00:44,515","00:00:48,819",Expressions of Gratitude
8,2,"00:00:48,819","00:00:51,640",Expressions of Profanity
9,2,"00:00:51,640","00:00:55,725",Personal Information
10,2,"00:00:55,725","00:00:58,347",Motivation
11,3,"00:00:00,289","00:00:02,170",Speculation and Hypothetical
12,3,"00:00:02,170","00:00:03,251",Expressions of Profanity
13,3,"00:00:03,251","00:00:04,131",Speculation and Hypothetical
14,3,"00:00:04,131","00:00:07,434",Normal Conversational and Discussion
15,3,"00:00:07,434","00:00:16,141",Sarcasm and Irony
16,3,"00:00:16,141","00:00:23,367",Expressions of Violence
17,3,"00:00:23,367","00:00:24,207",Expressions of Gratitude
18,3,"00:00:24,207","00:00:24,649",Expressions of Gratitude
19,3,"00:01:00,103","00:01:00,402",Expressions of Profanity
20,3,"00:02:13,257","00:02:16,799",Speculation and Hypothetical
21,3,"00:02:16,799","00:02:20,921",Expressions of Profanity
22,3,"00:02:20,921","00:02:24,324",Speculation and Hypothetical
23,3,"00:02:24,324","00:02:25,824",Criticism and Feedback
24,3,"00:02:25,824","00:02:28,507",Expressions of Profanity
25,3,"00:02:28,507","00:02:33,389",Hesitation and Uncertainty
26,3,"00:03:30,549","00:03:30,733",Speculation and Hypothetical
27,4,"00:00:32,764","00:00:36,707",Expressions of Apology
